player_id,player_name,citizenship,position,main_position
4533,Anouar Hadouir (4533),Netherlands  Morocco,Midfield - Attacking Midfield,Midfield
453594,Adama Diakhaby (453594),France  Senegal,Midfield - Attacking Midfield,Midfield
453783,Paul-Philipp Besong (453783),Germany  Cameroon,Attack - Centre-Forward,Attack
453824,Josh Maja (453824),Nigeria  England,Attack - Centre-Forward,Attack
453865,Kimberly Ezekwem (453865),Germany  Nigeria,Defender - Left-Back,Defender
453864,Marvin Cuni (453864),Albania  Germany,Attack - Centre-Forward,Attack
453889,Onur Küçük (453889),Türkiye,Goalkeeper,Goalkeeper
453985,Aly Coulibaly (453985),France  Senegal,Midfield - Central Midfield,Midfield
45412,Seni Camara (45412),Senegal,Midfield - Central Midfield,Midfield
454110,Augustine Williams (454110),Sierra Leone  United States,Attack - Centre-Forward,Attack
454287,Kristo Shehu (454287),Greece  Albania,Attack - Centre-Forward,Attack
454327,Bulut Yüksel Sagin (454327),Türkiye,Midfield - Defensive Midfield,Midfield
454329,Ogulcan Evin (454329),Türkiye,Attack - Centre-Forward,Attack
454293,Jorgo Pellumbi (454293),Albania,Defender - Centre-Back,Defender
454292,Dean Liço (454292),Albania,Midfield - Central Midfield,Midfield
454330,Sait Haydaroglu (454330),Türkiye,Defender - Centre-Back,Defender
454328,Gökhan Akman (454328),Türkiye,Defender - Left-Back,Defender
454336,Killian Sardella (454336),Belgium  Cameroon,Defender - Right-Back,Defender
454331,Emircan Seçgin (454331),Türkiye,Goalkeeper,Goalkeeper
454567,Orkun Kökçü (454567),Türkiye  Netherlands,Midfield - Central Midfield,Midfield
45464,Sercan Sararer (45464),Türkiye  Spain,Attack - Centre-Forward,Attack
454962,Bekir Can Kara (454962),Türkiye,Midfield - Central Midfield,Midfield
454979,Emre Can Dönmez (454979),Türkiye,Midfield - Defensive Midfield,Midfield
454980,Furkan Aydemir (454980),Türkiye,Midfield - Defensive Midfield,Midfield
454969,Asım Hamzaçebi (454969),Türkiye,Midfield - Central Midfield,Midfield
45513,Mostapha El Kabir (45513),Morocco  Netherlands,Attack - Centre-Forward,Attack
455289,Onur Akdeniz (455289),Türkiye,Defender - Centre-Back,Defender
455494,Mateo Maric (455494),Bosnia-Herzegovina  Croatia,Midfield - Defensive Midfield,Midfield
45566,Tijani Belaid (45566),Tunisia  France,Midfield - Attacking Midfield,Midfield
45571,Armin Cerimagic (45571),Bosnia-Herzegovina,Attack - Right Winger,Attack
45581,Joel Obi (45581),Nigeria  Italy,Midfield - Central Midfield,Midfield
456080,Karim Aribi (456080),Algeria,Attack - Centre-Forward,Attack
45624,Aurélien Chedjou (45624),Cameroon  France,Defender - Centre-Back,Defender
456391,Ebrar Yıldırım (456391),Netherlands  Türkiye,Attack - Right Winger,Attack
456436,Moussa Sylla (456436),France  Senegal,Defender - Right-Back,Defender
456433,Marvin Milville (456433),France  Algeria,Defender - Centre-Back,Defender
456447,Mady Soaré (456447),France  Senegal,Defender - Centre-Back,Defender
456467,Mamadou Diarra (456467),Senegal,Defender - Centre-Back,Defender
456495,Sami Guediri (456495),United States  Algeria,Defender - Left-Back,Defender
45660,Eric-Maxim Choupo-Moting (45660),Cameroon  Germany,Attack - Centre-Forward,Attack
45674,Mohamed Amsif (45674),Morocco  Germany,Goalkeeper,Goalkeeper
45671,Cenk Tosun (45671),Türkiye  Germany,Attack - Centre-Forward,Attack
456751,Moha Sanhaji (456751),Morocco  Spain,Attack - Left Winger,Attack
456936,Harun Kavaklıdere (456936),Türkiye,Attack - Right Winger,Attack
456993,Abdullah Hameed (456993),Iraq  Sweden,Attack - Left Winger,Attack
457041,Okan Saraçoğlu (457041),Türkiye  Bulgaria,Midfield - Central Midfield,Midfield
457044,Batuhan Arda Özdemir (457044),Türkiye,Defender - Right-Back,Defender
45721,Berkan Afsarli (45721),Germany  Türkiye,Midfield - Central Midfield,Midfield
457237,Sergio Kalaj (457237),Albania  Italy,Defender - Centre-Back,Defender
457481,Genci Krivca (457481),Albania  Italy,Defender - Left-Back,Defender
457514,Tarkan Hanci (457514),Türkiye,Attack - Centre-Forward,Attack
457486,Arda Kaya (457486),Türkiye,Midfield - Central Midfield,Midfield
457550,Anıl Balakkız (457550),Türkiye,Midfield - Central Midfield,Midfield
457728,Mustapha Bundu (457728),Sierra Leone,Attack - Right Winger,Attack
457710,Arensi Rota (457710),Greece  Albania,Defender - Centre-Back,Defender
457689,Mert Arabacı (457689),Türkiye,Defender - Centre-Back,Defender
457743,Mohamed Konaté (457743),Burkina Faso  Russia,Attack - Centre-Forward,Attack
457774,Ensar Kemaloğlu (457774),Türkiye,Midfield - Central Midfield,Midfield
45792,Kelvin Etuhu (45792),Nigeria  England,Midfield - Defensive Midfield,Midfield
458003,Amin Bouzaig (458003),Morocco  Spain,Attack - Centre-Forward,Attack
458176,Osman Esen (458176),Türkiye  France,Defender,Defender
458367,Arbër Hoxha (458367),Albania  Kosovo,Attack - Left Winger,Attack
458378,Yady Bangoura (458378),Guinea  Belgium,Attack - Centre-Forward,Attack
458401,,Mauritania  Spain,Defender - Centre-Back,Defender
458397,Johann Ngounou Djayo (458397),Germany  Cameroon,Midfield - Central Midfield,Midfield
4585,Faouzi El Brazi (4585),Morocco,Defender - Centre-Back,Defender
458588,Benhur Keser (458588),Türkiye,Attack - Left Winger,Attack
458633,Tunmise Sobowale (458633),Ireland  Nigeria,Defender - Centre-Back,Defender
458728,Emeka Obi (458728),Nigeria  England,Defender - Centre-Back,Defender
45879,Kebba Ceesay (45879),The Gambia  Sweden,Defender - Centre-Back,Defender
484888,Ibrahim Sissoko (484888),Mali  France,Attack - Centre-Forward,Attack
484992,Aïmen Moueffek (484992),Morocco  France,Midfield - Central Midfield,Midfield
484937,Manny Agboola (484937),England  Nigeria,Goalkeeper,Goalkeeper
